"Source:","C:\Users\Guillem\Documents\Guillem\personal\Kicad\pulse_generator\pulse_generator\pulse_generator.kicad_sch"
"Date:","08-Aug-23 5:58:08 PM"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","27"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C3","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"2","2","D1, D2","1N5711","Device:D_Schottky","Diode_SMD:D_SOD-123","~",""
"3","1","D3","LED","Device:LED","LED_THT:LED_D5.0mm","~",""
"4","2","D4, D5","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"5","1","J1","Power","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~",""
"6","1","J2","Digital/PWM","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~",""
"7","1","J3","Analog","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~",""
"8","1","J4","Digital/PWM","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~",""
"9","2","J5, J6","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~",""
"10","2","R1, R2","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"11","1","R3","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"12","3","R4, R6, R7","330","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"13","1","R5","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","DNP"
"14","2","R8, R9","0","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"15","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx39-2LFS","~",""
"16","1","TP1","GND_hook","Connector:TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"17","1","TP2","DAC_cal","Connector:TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"18","1","U1","LM311","Comparator:LM311","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","https://www.st.com/resource/en/datasheet/lm311.pdf",""
"19","1","U2","74LS279","comprovat_parts:74LS279","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","",""
